"StageName","StageType","Result","Resource Start","Direction","Name","Field","Row","Type","Value"
,"Undefined","Created session log","3/22/2024 11:07:48 AM"
"Start","Start",,"3/22/2024 11:07:48 AM"
"Initialization","Sub Sheet",,"3/22/2024 11:07:48 AM"
"Start","Start",,"3/22/2024 11:07:48 AM"
"Outlook Exist?","Decision","False","3/22/2024 11:07:52 AM"
"Outlook Window Exist?","Decision","True","3/22/2024 11:08:10 AM"
"End","End",,"3/22/2024 11:08:10 AM"
"Get Email","Sub Sheet",,"3/22/2024 11:08:10 AM"

,,,,OUT,"Email and Input File Name Collection",,,,
,,,,OUT,"Email and Input File Name Collection","Sender Email","1","Text","fvtvlnight@gmail.com"
,,,,OUT,"Email and Input File Name Collection","File Name","1","Text","UiBankLoanAppData_3.xlsx"
,,,,OUT,"Email and Input File Name Collection","Sender Email","2","Text","fvtvlnight@gmail.com"
,,,,OUT,"Email and Input File Name Collection","File Name","2","Text","UiBankLoanAppData_2.xlsx"
,,,,OUT,"Email and Input File Name Collection","Sender Email","3","Text","fvtvlnight@gmail.com"
,,,,OUT,"Email and Input File Name Collection","File Name","3","Text","UiBankLoanAppData.xlsx"
"Start","Start",,"3/22/2024 11:08:10 AM"
"End","End",,"3/22/2024 11:08:35 AM"

,,,,OUT,"Email and Input File Name Collection",,,,
,,,,OUT,"Email and Input File Name Collection","Sender Email","1","Text","fvtvlnight@gmail.com"
,,,,OUT,"Email and Input File Name Collection","File Name","1","Text","UiBankLoanAppData_3.xlsx"
,,,,OUT,"Email and Input File Name Collection","Sender Email","2","Text","fvtvlnight@gmail.com"
,,,,OUT,"Email and Input File Name Collection","File Name","2","Text","UiBankLoanAppData_2.xlsx"
,,,,OUT,"Email and Input File Name Collection","Sender Email","3","Text","fvtvlnight@gmail.com"
,,,,OUT,"Email and Input File Name Collection","File Name","3","Text","UiBankLoanAppData.xlsx"
"Populate Queue","Sub Sheet",,"3/22/2024 11:08:36 AM"

,,,,IN,"Email and Input File Name Collection",,,,
,,,,IN,"Email and Input File Name Collection","Sender Email","1","Text","fvtvlnight@gmail.com"
,,,,IN,"Email and Input File Name Collection","File Name","1","Text","UiBankLoanAppData_3.xlsx"
,,,,IN,"Email and Input File Name Collection","Sender Email","2","Text","fvtvlnight@gmail.com"
,,,,IN,"Email and Input File Name Collection","File Name","2","Text","UiBankLoanAppData_2.xlsx"
,,,,IN,"Email and Input File Name Collection","Sender Email","3","Text","fvtvlnight@gmail.com"
,,,,IN,"Email and Input File Name Collection","File Name","3","Text","UiBankLoanAppData.xlsx"
"Validation Excel","Sub Sheet",,"3/22/2024 11:08:52 AM"

,,,,IN,"File Data",,,,
,,,,IN,"File Data","Name","1","Text","Isabella Reyes"
,,,,IN,"File Data","Email","1","Text","nisi.dictum@outlook.ca"
,,,,IN,"File Data","Age","1","Text","51"
,,,,IN,"File Data","Annual Income","1","Text","?82 ,058"
,,,,IN,"File Data","Loan Amount","1","Text","?3,616.41"
,,,,IN,"File Data","Loan Request Date","1","Text","19-Jan-24"
,,,,IN,"File Data","Loan Term","1","Text","3"
,,,,IN,"File Data","Loan Approved","1","Text","yes"
,,,,IN,"File Data","APR %","1","Text","9"
,,,,IN,"File Data","Loan ID","1","Text","65e599a32044ca61396f6ab7"
,,,,IN,"File Data","loan info","1","Text",""
,,,,IN,"File Data","Name","2","Text","Fay Schultz"
,,,,IN,"File Data","Email","2","Text","eu@outlook.org"
,,,,IN,"File Data","Age","2","Text","71"
,,,,IN,"File Data","Annual Income","2","Text","?63 ,579"
,,,,IN,"File Data","Loan Amount","2","Text","?3,991.56"
,,,,IN,"File Data","Loan Request Date","2","Text","20-Aug-23"
,,,,IN,"File Data","Loan Term","2","Text","9"
,,,,IN,"File Data","Loan Approved","2","Text",""
,,,,IN,"File Data","APR %","2","Text",""
,,,,IN,"File Data","Loan ID","2","Text",""
,,,,IN,"File Data","loan info","2","Text","9 is not a valid loan term, selected 10"
,,,,IN,"File Data","Name","3","Text","Kristen Skinner"
,,,,IN,"File Data","Email","3","Text","nostra@outlook.edu"
,,,,IN,"File Data","Age","3","Text","95"
,,,,IN,"File Data","Annual Income","3","Text","?91 ,414"
,,,,IN,"File Data","Loan Amount","3","Text","?302.94"
,,,,IN,"File Data","Loan Request Date","3","Text","29-Dec-23"
,,,,IN,"File Data","Loan Term","3","Text","9"
,,,,IN,"File Data","Loan Approved","3","Text",""
,,,,IN,"File Data","APR %","3","Text",""
,,,,IN,"File Data","Loan ID","3","Text",""
,,,,IN,"File Data","loan info","3","Text",""
,,,,IN,"File Data","Name","4","Text","Yael Guerra"
,,,,IN,"File Data","Email","4","Text","erat.semper@google.net"
,,,,IN,"File Data","Age","4","Text","91"
,,,,IN,"File Data","Annual Income","4","Text","?68 ,730"
,,,,IN,"File Data","Loan Amount","4","Text","?4,619.69"
,,,,IN,"File Data","Loan Request Date","4","Text","12-Jun-24"
,,,,IN,"File Data","Loan Term","4","Text","9"
,,,,IN,"File Data","Loan Approved","4","Text",""
,,,,IN,"File Data","APR %","4","Text",""
,,,,IN,"File Data","Loan ID","4","Text",""
,,,,IN,"File Data","loan info","4","Text",""
,,,,IN,"File Data","Name","5","Text","Macon Olsen"
,,,,IN,"File Data","Email","5","Text","praesent.interdum.ligula@protonmail.edu"
,,,,IN,"File Data","Age","5","Text","68"
,,,,IN,"File Data","Annual Income","5","Text","?11 ,478"
,,,,IN,"File Data","Loan Amount","5","Text","?9,108.45"
,,,,IN,"File Data","Loan Request Date","5","Text","23-May-23"
,,,,IN,"File Data","Loan Term","5","Text","9"
,,,,IN,"File Data","Loan Approved","5","Text",""
,,,,IN,"File Data","APR %","5","Text",""
,,,,IN,"File Data","Loan ID","5","Text",""
,,,,IN,"File Data","loan info","5","Text",""
,,,,IN,"File Data","Name","6","Text","Adrian Larsen"
,,,,IN,"File Data","Email","6","Text","nunc.lectus.pede@hotmail.org"
,,,,IN,"File Data","Age","6","Text","41"
,,,,IN,"File Data","Annual Income","6","Text","?78 ,188"
,,,,IN,"File Data","Loan Amount","6","Text","?5,792.84"
,,,,IN,"File Data","Loan Request Date","6","Text","23-Oct-24"
,,,,IN,"File Data","Loan Term","6","Text","9"
,,,,IN,"File Data","Loan Approved","6","Text",""
,,,,IN,"File Data","APR %","6","Text",""
,,,,IN,"File Data","Loan ID","6","Text",""
,,,,IN,"File Data","loan info","6","Text",""
,,,,IN,"File Data","Name","7","Text","Danielle Hyde"
,,,,IN,"File Data","Email","7","Text","imperdiet.ornare@outlook.edu"
,,,,IN,"File Data","Age","7","Text","89"
,,,,IN,"File Data","Annual Income","7","Text","?68 ,878"
,,,,IN,"File Data","Loan Amount","7","Text","?4,499.49"
,,,,IN,"File Data","Loan Request Date","7","Text","27-Nov-24"
,,,,IN,"File Data","Loan Term","7","Text","9"
,,,,IN,"File Data","Loan Approved","7","Text",""
,,,,IN,"File Data","APR %","7","Text",""
,,,,IN,"File Data","Loan ID","7","Text",""
,,,,IN,"File Data","loan info","7","Text",""
,,,,IN,"File Data","Name","8","Text","Stacy Barrera"
,,,,IN,"File Data","Email","8","Text","eu.odio@google.couk"
,,,,IN,"File Data","Age","8","Text","44"
,,,,IN,"File Data","Annual Income","8","Text","?39 ,760"
,,,,IN,"File Data","Loan Amount","8","Text","?1,834.04"
,,,,IN,"File Data","Loan Request Date","8","Text","16-Dec-24"
,,,,IN,"File Data","Loan Term","8","Text","9"
,,,,IN,"File Data","Loan Approved","8","Text",""
,,,,IN,"File Data","APR %","8","Text",""
,,,,IN,"File Data","Loan ID","8","Text",""
,,,,IN,"File Data","loan info","8","Text",""
,,,,IN,"File Data","Name","9","Text","Holmes Morin"
,,,,IN,"File Data","Email","9","Text","cras.dolor@protonmail.com"
,,,,IN,"File Data","Age","9","Text","22"
,,,,IN,"File Data","Annual Income","9","Text","?63 ,651"
,,,,IN,"File Data","Loan Amount","9","Text","?9,620.30"
,,,,IN,"File Data","Loan Request Date","9","Text","27-Jul-24"
,,,,IN,"File Data","Loan Term","9","Text","9"
,,,,IN,"File Data","Loan Approved","9","Text",""
,,,,IN,"File Data","APR %","9","Text",""
,,,,IN,"File Data","Loan ID","9","Text",""
,,,,IN,"File Data","loan info","9","Text",""
,,,,IN,"File Data","Name","10","Text","Lester Solis"
,,,,IN,"File Data","Email","10","Text","elit.dictum.eu@hotmail.edu"
,,,,IN,"File Data","Age","10","Text","96"
,,,,IN,"File Data","Annual Income","10","Text","?79 ,849"
,,,,IN,"File Data","Loan Amount","10","Text","?5,366.25"
,,,,IN,"File Data","Loan Request Date","10","Text","17-Nov-23"
,,,,IN,"File Data","Loan Term","10","Text","3"
,,,,IN,"File Data","Loan Approved","10","Text",""
,,,,IN,"File Data","APR %","10","Text",""
,,,,IN,"File Data","Loan ID","10","Text",""
,,,,IN,"File Data","loan info","10","Text",""
,,,,IN,"File Data","Name","11","Text","Brock Mcfadden"
,,,,IN,"File Data","Email","11","Text","sed@hotmail.com"
,,,,IN,"File Data","Age","11","Text","49"
,,,,IN,"File Data","Annual Income","11","Text","?28 ,679"
,,,,IN,"File Data","Loan Amount","11","Text","?176.95"
,,,,IN,"File Data","Loan Request Date","11","Text","24-Mar-24"
,,,,IN,"File Data","Loan Term","11","Text","3"
,,,,IN,"File Data","Loan Approved","11","Text",""
,,,,IN,"File Data","APR %","11","Text",""
,,,,IN,"File Data","Loan ID","11","Text",""
,,,,IN,"File Data","loan info","11","Text",""
,,,,IN,"File Data","Name","12","Text","Imelda Garcia"
,,,,IN,"File Data","Email","12","Text","sed.orci.lobortis@protonmail.edu"
,,,,IN,"File Data","Age","12","Text","84"
,,,,IN,"File Data","Annual Income","12","Text","?5 ,528"
,,,,IN,"File Data","Loan Amount","12","Text","?9,212.86"
,,,,IN,"File Data","Loan Request Date","12","Text","2-Sep-24"
,,,,IN,"File Data","Loan Term","12","Text","3"
,,,,IN,"File Data","Loan Approved","12","Text",""
,,,,IN,"File Data","APR %","12","Text",""
,,,,IN,"File Data","Loan ID","12","Text",""
,,,,IN,"File Data","loan info","12","Text",""
,,,,IN,"File Data","Name","13","Text","Janna Watts"
,,,,IN,"File Data","Email","13","Text","orci.ut.semper@protonmail.edu"
,,,,IN,"File Data","Age","13","Text","98"
,,,,IN,"File Data","Annual Income","13","Text","?86 ,907"
,,,,IN,"File Data","Loan Amount","13","Text","?8,946.91"
,,,,IN,"File Data","Loan Request Date","13","Text","2-Sep-24"
,,,,IN,"File Data","Loan Term","13","Text","3"
,,,,IN,"File Data","Loan Approved","13","Text",""
,,,,IN,"File Data","APR %","13","Text",""
,,,,IN,"File Data","Loan ID","13","Text",""
,,,,IN,"File Data","loan info","13","Text",""
,,,,IN,"File Data","Name","14","Text","Davis Neal"
,,,,IN,"File Data","Email","14","Text","vestibulum@protonmail.couk"
,,,,IN,"File Data","Age","14","Text","27"
,,,,IN,"File Data","Annual Income","14","Text","?40 ,880"
,,,,IN,"File Data","Loan Amount","14","Text","?446.09"
,,,,IN,"File Data","Loan Request Date","14","Text","10-Sep-23"
,,,,IN,"File Data","Loan Term","14","Text","3"
,,,,IN,"File Data","Loan Approved","14","Text",""
,,,,IN,"File Data","APR %","14","Text",""
,,,,IN,"File Data","Loan ID","14","Text",""
,,,,IN,"File Data","loan info","14","Text",""
,,,,IN,"File Data","Name","15","Text","Martha Farrell"
,,,,IN,"File Data","Email","15","Text","id.magna@protonmail.net"
,,,,IN,"File Data","Age","15","Text","98"
,,,,IN,"File Data","Annual Income","15","Text","?85 ,421"
,,,,IN,"File Data","Loan Amount","15","Text","?7,528.40"
,,,,IN,"File Data","Loan Request Date","15","Text","1-Jan-25"
,,,,IN,"File Data","Loan Term","15","Text","3"
,,,,IN,"File Data","Loan Approved","15","Text",""
,,,,IN,"File Data","APR %","15","Text",""
,,,,IN,"File Data","Loan ID","15","Text",""
,,,,IN,"File Data","loan info","15","Text",""
,,,,IN,"File Data","Name","16","Text","Dale Patton"
,,,,IN,"File Data","Email","16","Text","fringilla.euismod.enim@yahoo.com"
,,,,IN,"File Data","Age","16","Text","21"
,,,,IN,"File Data","Annual Income","16","Text","?31 ,603"
,,,,IN,"File Data","Loan Amount","16","Text","?8,550.12"
,,,,IN,"File Data","Loan Request Date","16","Text","5-May-24"
,,,,IN,"File Data","Loan Term","16","Text","3"
,,,,IN,"File Data","Loan Approved","16","Text",""
,,,,IN,"File Data","APR %","16","Text",""
,,,,IN,"File Data","Loan ID","16","Text",""
,,,,IN,"File Data","loan info","16","Text",""
,,,,IN,"File Data","Name","17","Text","Germaine Watkins"
,,,,IN,"File Data","Email","17","Text","cras.pellentesque@yahoo.org"
,,,,IN,"File Data","Age","17","Text","85"
,,,,IN,"File Data","Annual Income","17","Text","?26 ,265"
,,,,IN,"File Data","Loan Amount","17","Text","?7,419.89"
,,,,IN,"File Data","Loan Request Date","17","Text","27-Nov-23"
,,,,IN,"File Data","Loan Term","17","Text","10"
,,,,IN,"File Data","Loan Approved","17","Text",""
,,,,IN,"File Data","APR %","17","Text",""
,,,,IN,"File Data","Loan ID","17","Text",""
,,,,IN,"File Data","loan info","17","Text",""
,,,,IN,"File Data","Name","18","Text","Carolyn Vang"
,,,,IN,"File Data","Email","18","Text","ornare.sagittis@protonmail.com"
,,,,IN,"File Data","Age","18","Text","41"
,,,,IN,"File Data","Annual Income","18","Text","?45 ,642"
,,,,IN,"File Data","Loan Amount","18","Text","?9,818.42"
,,,,IN,"File Data","Loan Request Date","18","Text","2-Sep-24"
,,,,IN,"File Data","Loan Term","18","Text","10"
,,,,IN,"File Data","Loan Approved","18","Text",""
,,,,IN,"File Data","APR %","18","Text",""
,,,,IN,"File Data","Loan ID","18","Text",""
,,,,IN,"File Data","loan info","18","Text",""
,,,,IN,"File Data","Name","19","Text","Miriam Russell"
,,,,IN,"File Data","Email","19","Text","egestas.aliquam@hotmail.com"
,,,,IN,"File Data","Age","19","Text","67"
,,,,IN,"File Data","Annual Income","19","Text","?71 ,342"
,,,,IN,"File Data","Loan Amount","19","Text","?3,613.69"
,,,,IN,"File Data","Loan Request Date","19","Text","21-Aug-24"
,,,,IN,"File Data","Loan Term","19","Text","10"
,,,,IN,"File Data","Loan Approved","19","Text",""
,,,,IN,"File Data","APR %","19","Text",""
,,,,IN,"File Data","Loan ID","19","Text",""
,,,,IN,"File Data","loan info","19","Text",""
,,,,IN,"File Data","Name","20","Text","Gloria Quinn"
,,,,IN,"File Data","Email","20","Text","sagittis.nullam@hotmail.ca"
,,,,IN,"File Data","Age","20","Text","21"
,,,,IN,"File Data","Annual Income","20","Text","?326"
,,,,IN,"File Data","Loan Amount","20","Text","?191.16"
,,,,IN,"File Data","Loan Request Date","20","Text","20-Oct-24"
,,,,IN,"File Data","Loan Term","20","Text","10"
,,,,IN,"File Data","Loan Approved","20","Text",""
,,,,IN,"File Data","APR %","20","Text",""
,,,,IN,"File Data","Loan ID","20","Text",""
,,,,IN,"File Data","loan info","20","Text",""
,,,,IN,"File Data","Name","21","Text","Isabelle Sutton"
,,,,IN,"File Data","Email","21","Text","eros.non@outlook.ca"
,,,,IN,"File Data","Age","21","Text","40"
