"StageName","StageType","Result","Resource Start","Direction","Name","Field","Row","Type","Value"
,"Undefined","Created session log","3/22/2024 11:12:42 AM"
"Get Pending Item","Sub Sheet",,"3/22/2024 11:12:42 AM"

,,,,IN,"Queue Name",,,"Text","TEAM RED(Eduard, Paula)_UI Bank - Loader Process"
,,,,IN,"TagFilter",,,"Text",""
,,,,OUT,"Pending Items Collection",,,,
,,,,OUT,"Pending Items Count",,,"Number","75"
,,,,OUT,"Pending Items Collection","Item ID","1","Text","bf3494e7-5ee3-49ac-8c06-712392a0392a"
,,,,OUT,"Pending Items Collection","Item ID","2","Text","356ca068-f47a-4039-826c-7d18d7ac4ca7"
,,,,OUT,"Pending Items Collection","Item ID","3","Text","3f0478ad-82d6-425d-a96c-9c4a0717cc6c"
,,,,OUT,"Pending Items Collection","Item ID","4","Text","794ccb1d-8949-4298-b187-e53b2952d289"
,,,,OUT,"Pending Items Collection","Item ID","5","Text","ea8c0885-102d-46e8-aa3b-dd2c2fc711be"
,,,,OUT,"Pending Items Collection","Item ID","6","Text","d5ab63f7-9742-4efc-89ae-f7565ec2eeba"
,,,,OUT,"Pending Items Collection","Item ID","7","Text","1c2b9a2e-89da-4614-b162-dbe89a7ffd4e"
,,,,OUT,"Pending Items Collection","Item ID","8","Text","a9ded7ae-1640-4d3b-abab-45887d87001d"
,,,,OUT,"Pending Items Collection","Item ID","9","Text","a3d983b9-429b-40aa-b827-a72dfbac8a88"
,,,,OUT,"Pending Items Collection","Item ID","10","Text","d8b4bad1-1e03-489c-a6a7-f2b5e581471c"
,,,,OUT,"Pending Items Collection","Item ID","11","Text","043e30ae-c398-442f-87e6-c4ce751b6b7c"
,,,,OUT,"Pending Items Collection","Item ID","12","Text","dbf3cb25-cefb-42de-8fcb-dab2002409a4"
,,,,OUT,"Pending Items Collection","Item ID","13","Text","f5710f02-f0b6-4b94-9b24-c0a5a9e18e0c"
,,,,OUT,"Pending Items Collection","Item ID","14","Text","af21c7f5-dfea-4627-9d79-4e0880608b14"
,,,,OUT,"Pending Items Collection","Item ID","15","Text","95a3c621-5f17-439c-8333-c8e31b6a3e70"
,,,,OUT,"Pending Items Collection","Item ID","16","Text","7149e5ec-0554-4859-80c4-aeed8607578a"
,,,,OUT,"Pending Items Collection","Item ID","17","Text","9a20a241-b2f1-4f19-8f01-93a68b989e8a"
,,,,OUT,"Pending Items Collection","Item ID","18","Text","e370c248-b8f1-4561-9f3e-51819b87990a"
,,,,OUT,"Pending Items Collection","Item ID","19","Text","e3674a6c-8a1a-4789-8ab9-7e4a9989e28b"
,,,,OUT,"Pending Items Collection","Item ID","20","Text","40d71ae8-814b-4533-956b-b6bae791a48f"
,,,,OUT,"Pending Items Collection","Item ID","21","Text","5c88d47f-2582-4880-88bb-5f09d7d4eba7"
,,,,OUT,"Pending Items Collection","Item ID","22","Text","01d66b82-9ccd-4aa3-9261-dd9679daa0a8"
,,,,OUT,"Pending Items Collection","Item ID","23","Text","9fe5c1cd-7924-4d2a-9211-4d9dddd5239a"
,,,,OUT,"Pending Items Collection","Item ID","24","Text","91945df6-f524-4d03-bfff-4be8226df05b"
,,,,OUT,"Pending Items Collection","Item ID","25","Text","95b5bb45-f376-4f34-8248-b90c76635b69"
,,,,OUT,"Pending Items Collection","Item ID","26","Text","b158e8e9-859b-4f7b-bc4f-6dc1c55b4dd8"
,,,,OUT,"Pending Items Collection","Item ID","27","Text","31b1a331-2ca8-4009-8988-b692a5f11b48"
,,,,OUT,"Pending Items Collection","Item ID","28","Text","0b7a6c2d-59a4-4648-896e-5bd8f573f657"
